TimeSeries ID,instance/network/sent_packets_count.gce_instance.ALIGN_RATE.REDUCE_SUM.resource.type="gce_instance" AND resource.label."project_id"="fcse-25w-cc" AND metric.type="compute.googleapis.com/instance/network/sent_packets_count" AND metadata.system_labels."instance_group"="pow-worker-mig" AND resource.label."zone" = starts_with("europe-west1-b").project_id:fcse-25w-cc
project_id,fcse-25w-cc
Tue Jun 09 2026 18:37:00 GMT+0200 (Central European Summer Time),14.216666666666667
Tue Jun 09 2026 18:38:00 GMT+0200 (Central European Summer Time),14.233333333333333
Tue Jun 09 2026 18:39:00 GMT+0200 (Central European Summer Time),14.233333333333333
Tue Jun 09 2026 18:40:00 GMT+0200 (Central European Summer Time),14.75
Tue Jun 09 2026 18:41:00 GMT+0200 (Central European Summer Time),15.716666666666667
Tue Jun 09 2026 18:42:00 GMT+0200 (Central European Summer Time),14.533333333333333
Tue Jun 09 2026 18:43:00 GMT+0200 (Central European Summer Time),14.366666666666667
Tue Jun 09 2026 18:44:00 GMT+0200 (Central European Summer Time),14.15
Tue Jun 09 2026 18:45:00 GMT+0200 (Central European Summer Time),14.35
Tue Jun 09 2026 18:46:00 GMT+0200 (Central European Summer Time),14.45
Tue Jun 09 2026 18:47:00 GMT+0200 (Central European Summer Time),14.2
Tue Jun 09 2026 18:48:00 GMT+0200 (Central European Summer Time),14.2
Tue Jun 09 2026 18:49:00 GMT+0200 (Central European Summer Time),14.166666666666666
Tue Jun 09 2026 18:50:00 GMT+0200 (Central European Summer Time),14.45
Tue Jun 09 2026 18:51:00 GMT+0200 (Central European Summer Time),15.016666666666667
Tue Jun 09 2026 18:52:00 GMT+0200 (Central European Summer Time),14.283333333333333
Tue Jun 09 2026 18:53:00 GMT+0200 (Central European Summer Time),14.233333333333333
Tue Jun 09 2026 18:54:00 GMT+0200 (Central European Summer Time),14.3
Tue Jun 09 2026 18:55:00 GMT+0200 (Central European Summer Time),14.216666666666667
Tue Jun 09 2026 18:56:00 GMT+0200 (Central European Summer Time),14.15
Tue Jun 09 2026 18:57:00 GMT+0200 (Central European Summer Time),14.15
Tue Jun 09 2026 18:58:00 GMT+0200 (Central European Summer Time),14.45
Tue Jun 09 2026 18:59:00 GMT+0200 (Central European Summer Time),14.866666666666667
Tue Jun 09 2026 19:00:00 GMT+0200 (Central European Summer Time),14.45
Tue Jun 09 2026 19:01:00 GMT+0200 (Central European Summer Time),15.05
